pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_17901,Age: young,Negative,Video repetition: 1,0.4615384615384616,0.37329306390344297,3.1876
EPI_Y_17901,Age: young,Negative,Video repetition: 2,0.6,-0.05225467252519603,2.7828
EPI_Y_17901,Age: young,Negative,Video repetition: 3,0.5,0.866226200295214,3.6565
EPI_Y_17901,Age: young,Positive,Video repetition: 1,0.5714285714285714,-0.4539914992944756,2.4006499999999997
EPI_Y_17901,Age: young,Positive,Video repetition: 2,0.7,-0.4678605469579372,2.387457142857143
EPI_Y_17901,Age: young,Positive,Video repetition: 3,0.7142857142857143,-0.06066470684196756,2.7748
EPI_Y_17911,Age: young,Neutral,Video repetition: 1,0.6666666666666666,0.30247069861115833,2.59515
EPI_Y_17911,Age: young,Neutral,Video repetition: 2,0.75,-0.5888087140616166,1.9215833333333336
EPI_Y_17911,Age: young,Neutral,Video repetition: 3,1,-0.5749810258410537,1.9320333333333333
EPI_Y_17911,Age: young,Negative,Video repetition: 1,0.8888888888888888,0.601453105638545,2.8211
EPI_Y_17911,Age: young,Negative,Video repetition: 2,0.7142857142857143,0.07197835304753598,2.42096
EPI_Y_17911,Age: young,Negative,Video repetition: 3,0.875,-0.4424003068395206,2.0322285714285715
EPI_Y_17911,Age: young,Positive,Video repetition: 1,0.6666666666666666,0.09085413988641906,2.435225
EPI_Y_17911,Age: young,Positive,Video repetition: 2,0.875,0.3130659402347066,2.603157142857143
EPI_Y_17911,Age: young,Positive,Video repetition: 3,0.8,-0.2668132405937873,2.164925
EPI_Y_17950,Age: young,Neutral,Video repetition: 1,0.5555555555555556,0.2889167039243347,1.87318
EPI_Y_17950,Age: young,Neutral,Video repetition: 2,0.5714285714285714,0.8020292919611047,2.404725
EPI_Y_17950,Age: young,Neutral,Video repetition: 3,0.375,-0.685750573331525,0.8635
EPI_Y_17950,Age: young,Negative,Video repetition: 1,0.7777777777777778,0.4874753607666832,2.0788714285714285
EPI_Y_17950,Age: young,Negative,Video repetition: 2,0.625,0.05351304907169429,1.62932
EPI_Y_17950,Age: young,Negative,Video repetition: 3,0.2857142857142857,-1.099198393283079,0.4352
EPI_Y_17950,Age: young,Positive,Video repetition: 1,0.6666666666666666,0.22353538044705543,1.80545
EPI_Y_17950,Age: young,Positive,Video repetition: 2,0.3333333333333333,0.3961833902493795,1.9843
EPI_Y_17950,Age: young,Positive,Video repetition: 3,0.6666666666666666,-1.0266061073611623,0.5104
EPI_Y_17967,Age: young,Neutral,Video repetition: 1,0.6666666666666666,0.2809223482706651,2.042
EPI_Y_17967,Age: young,Neutral,Video repetition: 2,0.8571428571428571,0.3028575061445266,2.0553333333333335
EPI_Y_17967,Age: young,Neutral,Video repetition: 3,0.7142857142857143,-0.6462767750574695,1.4784000000000002
EPI_Y_17967,Age: young,Negative,Video repetition: 1,0.4,-0.7834811875584746,1.395
EPI_Y_17967,Age: young,Negative,Video repetition: 2,0.875,0.5770469795677982,2.222
EPI_Y_17967,Age: young,Negative,Video repetition: 3,0.7272727272727273,0.24246727462305123,2.018625
EPI_Y_17967,Age: young,Positive,Video repetition: 1,0.7777777777777778,-0.2318903068804021,1.7302857142857142
EPI_Y_17967,Age: young,Positive,Video repetition: 2,0.8888888888888888,-0.42504699842590304,1.612875
EPI_Y_17967,Age: young,Positive,Video repetition: 3,0.6666666666666666,-0.5457589141004984,1.5395
EPI_Y_17982,Age: young,Neutral,Video repetition: 1,0.8181818181818182,0.2617350662006291,2.5689888888888888
EPI_Y_17982,Age: young,Neutral,Video repetition: 2,1,-1.0989178646150186,1.86215
EPI_Y_17982,Age: young,Neutral,Video repetition: 3,0.6363636363636364,-0.7192699433932614,2.0593714285714286
EPI_Y_17982,Age: young,Negative,Video repetition: 1,0.6,0.23063589443579283,2.5528333333333335
EPI_Y_17982,Age: young,Negative,Video repetition: 2,0.75,0.8664578195068331,2.8831333333333333
EPI_Y_17982,Age: young,Negative,Video repetition: 3,0.8,-0.22880143135382092,2.3141625
EPI_Y_17982,Age: young,Positive,Video repetition: 1,1,-0.35722186785488586,2.24745
EPI_Y_17982,Age: young,Positive,Video repetition: 2,0.7857142857142857,-0.0627606997100078,2.400418181818182
EPI_Y_17982,Age: young,Positive,Video repetition: 3,0.6666666666666666,-0.7915943092484077,2.0218
EPI_Y_17996,Age: young,Neutral,Video repetition: 1,0.6,-0.9219142072468548,2.2439666666666667
